Название;Цена;Длительность;Описание
Роды (физиологические);35640;120;Ведение физиологических родов. Цена «от», уточняется по объёму помощи
Кесарево сечение;80000;90;Оперативное родоразрешение. Цена «от»
Анестезия при кесаревом сечении (общая);39000;60;Общая анестезия во время операции кесарева сечения
Индивидуальное сопровождение родов врачом;55000;120;Персональное ведение родов выбранным врачом
Ведение беременности (полный курс);186000;30;Наблюдение на протяжении всей беременности с анализами и УЗИ
Пребывание в стационаре без осложнений (сутки);18150;20;Стоимость суток пребывания при беременности без осложнений
Люкс-палата (сутки);14860;20;Комфортная одноместная палата повышенной комфортности, за сутки
Консультация врача высшей категории / д.м.н.;5400;30;Приём высококвалифицированного специалиста
УЗИ органов брюшной полости;5500;25;Ультразвуковое исследование органов брюшной полости
УЗИ молочных желёз;2700;20;Ультразвуковое исследование молочных желёз
Гистероскопия;9300;40;Осмотр полости матки с помощью гистероскопа
Лапароскопия (проверка проходимости маточных труб);60480;90;Малоинвазивная диагностика проходимости маточных труб
Медикаментозное прерывание беременности;14100;30;Прерывание беременности на раннем сроке без операции
УЗИ органов малого таза;5000;25;Ультразвуковое исследование матки и придатков (ориентир — заменить на прайс клиники)
УЗИ плода (скрининг I триместра);7000;30;Скрининговое УЗИ плода в первом триместре (ориентир — заменить на прайс клиники)
УЗИ плода (скрининг II-III триместра);7500;30;Скрининговое УЗИ плода во втором-третьем триместре (ориентир — заменить на прайс клиники)
КТГ плода;3500;30;Кардиотокография — оценка сердцебиения плода (ориентир — заменить на прайс клиники)
Консультация акушера-гинеколога;6000;30;Приём врача акушера-гинеколога (ориентир — заменить на прайс клиники)
Консультация репродуктолога;9000;30;Приём врача по вопросам лечения бесплодия (ориентир — заменить на прайс клиники)
Кольпоскопия;6000;25;Осмотр шейки матки под увеличением (ориентир — заменить на прайс клиники)
Мазок на онкоцитологию (ПАП-тест);4000;10;Цитологическое исследование мазка шейки матки (ориентир — заменить на прайс клиники)
Мазок на флору;2500;10;Микроскопическое исследование мазка (ориентир — заменить на прайс клиники)
Общий анализ крови;2500;10;Клинический анализ крови (ориентир — заменить на прайс клиники)
Биохимический анализ крови;10000;10;Комплекс биохимических показателей крови (ориентир — заменить на прайс клиники)
