Название;Цена;Длительность;Описание
Приём профессора, ДМН;18900;30;Консультация профессора, доктора медицинских наук
Приём врача, КМН;15120;30;Консультация врача, кандидата медицинских наук
Приём гинеколога;7600;30;Консультация врача-гинеколога платного отделения
Приём кардиолога;7600;30;Консультация врача-кардиолога, оценка состояния сердца
Приём терапевта;7600;30;Консультация терапевта, первичный осмотр
Консультация невролога;7600;30;Консультация врача-невролога (ориентир — заменить на прайс клиники)
Консультация уролога;7600;30;Консультация врача-уролога (ориентир — заменить на прайс клиники)
Консультация хирурга;7600;30;Консультация врача-хирурга, оценка необходимости операции (ориентир — заменить на прайс клиники)
Аппендэктомия (местная анестезия);60350;90;Хирургическое удаление аппендикса под местной анестезией
Холецистэктомия (общий наркоз);53680;120;Удаление желчного пузыря под общим наркозом
Грыжесечение (местная анестезия);135070;120;Хирургическое лечение грыжи под местной анестезией
ЭКГ;5290;20;Электрокардиография, регистрация работы сердца
УЗИ одного органа;6800;25;Ультразвуковое исследование одного органа
УЗИ молочной железы;8820;25;Ультразвуковое исследование молочных желёз
УЗИ щитовидной железы;7060;25;Ультразвуковое исследование щитовидной железы
УЗИ брюшной полости;7000;30;Комплексное УЗИ органов брюшной полости (ориентир — заменить на прайс клиники)
КТ головного мозга;23440;30;Компьютерная томография головного мозга
МРТ головного мозга;29480;40;Магнитно-резонансная томография головного мозга
Рентгенография;3500;20;Рентгенологическое исследование (ориентир — заменить на прайс клиники)
Общий анализ крови;2500;10;Развёрнутый общий анализ крови (ориентир — заменить на прайс клиники)
Люкс-палата (сутки);63000;60;Пребывание в палате повышенной комфортности, за сутки
