Название;Цена;Длительность;Описание
Консультация терапевта;5000;30;Первичный приём терапевта, осмотр и рекомендации (ориентир — заменить на прайс клиники)
Консультация хирурга;6000;30;Первичный приём хирурга, осмотр и рекомендации (ориентир — заменить на прайс клиники)
Консультация уролога;7000;30;Первичный приём уролога, осмотр и рекомендации (ориентир — заменить на прайс клиники)
Консультация невролога;7000;30;Первичный приём невролога, осмотр и рекомендации (ориентир — заменить на прайс клиники)
Консультация гинеколога;7000;30;Первичный приём гинеколога, осмотр и рекомендации (ориентир — заменить на прайс клиники)
Консультация реабилитолога;7000;30;Приём врача-реабилитолога, составление плана восстановления (ориентир — заменить на прайс клиники)
Повторная консультация специалиста;4000;20;Повторный приём в рамках назначенного курса лечения (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;6000;30;Ультразвуковое исследование печени, желчного пузыря, поджелудочной, селезёнки (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;6500;30;Ультразвуковое исследование органов малого таза (ориентир — заменить на прайс клиники)
УЗИ почек и мочевого пузыря;6000;30;Ультразвуковое исследование мочевыделительной системы (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;5500;20;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
ЭКГ;3000;15;Электрокардиография с расшифровкой (ориентир — заменить на прайс клиники)
Рентгенография (один снимок);3500;15;Рентгенологическое исследование одной области (ориентир — заменить на прайс клиники)
МРТ головного мозга;22000;40;Магнитно-резонансная томография головного мозга (ориентир — заменить на прайс клиники)
МРТ позвоночника (один отдел);22000;40;МРТ одного отдела позвоночника (ориентир — заменить на прайс клиники)
МРТ суставов;24000;40;Магнитно-резонансная томография сустава (ориентир — заменить на прайс клиники)
Общий анализ крови (ОАК);2500;10;Развёрнутый клинический анализ крови (ориентир — заменить на прайс клиники)
Общий анализ мочи (ОАМ);2000;10;Клинический анализ мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;10000;10;Базовая биохимическая панель крови (ориентир — заменить на прайс клиники)
Анализ на глюкозу крови;1500;5;Определение уровня глюкозы в крови (ориентир — заменить на прайс клиники)
Коагулограмма;6000;10;Исследование свёртывающей системы крови (ориентир — заменить на прайс клиники)
Гормоны щитовидной железы (панель);9000;10;Определение уровня гормонов щитовидной железы (ориентир — заменить на прайс клиники)
Физиотерапевтическая процедура;800;30;Одна процедура физиотерапии по назначению врача (ориентир — заменить на прайс клиники)
Лечебный массаж (одна зона);2800;30;Медицинский массаж одной анатомической зоны (ориентир — заменить на прайс клиники)
Лечебная физкультура (занятие);2500;30;Индивидуальное занятие ЛФК с инструктором (ориентир — заменить на прайс клиники)
Внутримышечная инъекция;1000;15;Постановка внутримышечного укола (без стоимости препарата) (ориентир — заменить на прайс клиники)
Внутривенная инфузия (капельница);4000;60;Постановка капельницы (без стоимости препарата) (ориентир — заменить на прайс клиники)
Перевязка;2000;20;Обработка раны и наложение повязки (ориентир — заменить на прайс клиники)
Забор крови из вены (услуга);1000;10;Взятие венозной крови для лабораторных исследований (ориентир — заменить на прайс клиники)
