Название;Цена;Длительность;Описание
Приём терапевта (платно);5000;25;Консультация терапевта: осмотр, сбор жалоб, рекомендации (ориентир — заменить на прайс клиники)
Приём врача общей практики (ВОП, платно);5000;25;Консультация ВОП: осмотр и первичные рекомендации (ориентир — заменить на прайс клиники)
Приём педиатра (платно);5000;25;Консультация детского врача: осмотр ребёнка и рекомендации родителям (ориентир — заменить на прайс клиники)
Повторный приём терапевта (платно);3500;20;Повторная консультация по ранее начатому вопросу (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;6000;25;Ультразвуковое исследование органов малого таза (ориентир — заменить на прайс клиники)
УЗИ брюшной полости;6500;25;Ультразвуковое исследование органов брюшной полости (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;5000;20;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
УЗИ молочных желёз;5500;20;Ультразвуковое исследование молочных желёз (ориентир — заменить на прайс клиники)
УЗИ почек;5500;20;Ультразвуковое исследование почек (ориентир — заменить на прайс клиники)
ЭКГ (электрокардиограмма);2500;15;Регистрация электрокардиограммы с описанием (ориентир — заменить на прайс клиники)
Общий анализ крови (ОАК);2000;10;Развёрнутый общий анализ крови (ориентир — заменить на прайс клиники)
Общий анализ мочи (ОАМ);1500;10;Общий клинический анализ мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;9000;10;Биохимия крови по основным показателям (ориентир — заменить на прайс клиники)
Анализ крови на сахар (глюкоза);1500;10;Определение уровня глюкозы в крови (ориентир — заменить на прайс клиники)
Липидный профиль (холестерин);4000;10;Исследование липидного обмена (холестерин, фракции) (ориентир — заменить на прайс клиники)
Анализ на гормоны щитовидной железы;7000;10;Исследование уровня гормонов щитовидной железы (ориентир — заменить на прайс клиники)
Забор крови из вены;800;10;Взятие крови из вены для лабораторных исследований (ориентир — заменить на прайс клиники)
Справка о состоянии здоровья;1500;15;Медицинская справка установленной формы (ориентир — заменить на прайс клиники)
Справка для бассейна;1500;15;Медицинская справка для посещения бассейна (ориентир — заменить на прайс клиники)
Справка в детский сад/школу;1500;15;Медицинская справка для детского сада или школы (ориентир — заменить на прайс клиники)
Медицинская справка на водительское удостоверение;3000;30;Осмотр и оформление справки для водителей (ориентир — заменить на прайс клиники)
Вызов врача на дом;5000;30;Осмотр пациента на дому в пределах города (ориентир — заменить на прайс клиники)
Физиопроцедура (электрофорез);900;25;Сеанс электрофореза по назначению врача (ориентир — заменить на прайс клиники)
Физиопроцедура (магнитотерапия);900;25;Сеанс магнитотерапии по назначению врача (ориентир — заменить на прайс клиники)
Физиопроцедура (ингаляция);700;20;Лечебная ингаляция по назначению врача (ориентир — заменить на прайс клиники)
Внутримышечная инъекция;800;15;Постановка внутримышечной инъекции (ориентир — заменить на прайс клиники)
Внутривенная инъекция (капельница);2000;30;Постановка капельницы по назначению врача (ориентир — заменить на прайс клиники)
Перевязка;1000;15;Обработка и перевязка раны (ориентир — заменить на прайс клиники)
Измерение артериального давления;500;10;Измерение АД с рекомендациями (ориентир — заменить на прайс клиники)
