Название;Цена;Длительность;Описание
Консультация терапевта (ВОП);5000;25;Первичный осмотр, оценка жалоб, назначение обследования (ориентир — заменить на прайс клиники)
Консультация педиатра;5000;25;Осмотр ребёнка, оценка развития и состояния здоровья (ориентир — заменить на прайс клиники)
Консультация гинеколога;7000;30;Осмотр, консультация по женскому здоровью (ориентир — заменить на прайс клиники)
Консультация эндокринолога;8000;30;Консультация по вопросам щитовидной железы, диабета, гормонов (ориентир — заменить на прайс клиники)
Консультация невролога;7000;30;Осмотр, оценка неврологического статуса, головные боли, боли в спине (ориентир — заменить на прайс клиники)
Консультация хирурга;7000;25;Осмотр, консультация по хирургическим вопросам (ориентир — заменить на прайс клиники)
Консультация ЛОР (отоларинголога);6000;25;Осмотр уха, горла, носа, консультация (ориентир — заменить на прайс клиники)
Консультация офтальмолога;6000;25;Проверка зрения, осмотр глазного дна, консультация (ориентир — заменить на прайс клиники)
Консультация гастроэнтеролога;8000;30;Консультация по заболеваниям желудочно-кишечного тракта (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;6000;25;Исследование печени, желчного пузыря, поджелудочной, селезёнки (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;6000;25;Исследование матки, яичников или предстательной железы (ориентир — заменить на прайс клиники)
УЗИ почек и мочевого пузыря;5500;25;Оценка состояния почек и мочевыводящих путей (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;5000;20;Оценка размеров и структуры щитовидной железы (ориентир — заменить на прайс клиники)
УЗИ молочных желёз;5500;20;Исследование молочных желёз (ориентир — заменить на прайс клиники)
УЗИ сердца (эхокардиография);8000;30;Оценка структуры и работы сердца (ориентир — заменить на прайс клиники)
УЗИ сосудов (допплерография);8000;30;Исследование кровотока в сосудах шеи или конечностей (ориентир — заменить на прайс клиники)
ЭКГ (электрокардиография);2500;15;Запись электрической активности сердца в покое (ориентир — заменить на прайс клиники)
ЭКГ с расшифровкой врача;3500;20;Электрокардиограмма с заключением специалиста (ориентир — заменить на прайс клиники)
Маммография;5000;20;Рентген-исследование молочных желёз для раннего выявления патологии (ориентир — заменить на прайс клиники)
ЭЭГ (электроэнцефалография);6500;40;Исследование электрической активности головного мозга (ориентир — заменить на прайс клиники)
СМАД (суточный мониторинг АД);7500;30;Постановка прибора для суточного контроля артериального давления (ориентир — заменить на прайс клиники)
Холтер ЭКГ (суточный мониторинг);9000;30;Постановка прибора для суточной записи ЭКГ (ориентир — заменить на прайс клиники)
Велоэргометрия (нагрузочный тест);9000;40;Оценка работы сердца при физической нагрузке (ориентир — заменить на прайс клиники)
Общий анализ крови (ОАК);2000;10;Базовый анализ крови, забор в процедурном кабинете (ориентир — заменить на прайс клиники)
Общий анализ мочи (ОАМ);1500;5;Базовое исследование мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;5000;10;Комплекс биохимических показателей крови (ориентир — заменить на прайс клиники)
Анализ на глюкозу крови;1200;10;Определение уровня сахара в крови (ориентир — заменить на прайс клиники)
Внутримышечная инъекция;1000;10;Постановка укола в процедурном кабинете (ориентир — заменить на прайс клиники)
Внутривенная инъекция;1500;15;Внутривенное введение препарата (ориентир — заменить на прайс клиники)
Внутривенная капельница;3000;40;Постановка капельницы в процедурном кабинете (ориентир — заменить на прайс клиники)
Забор крови из вены;1000;10;Взятие венозной крови для анализов (ориентир — заменить на прайс клиники)
