Название;Цена;Длительность;Описание
Приём ревматолога (первичный);3200;25;Первичная консультация врача-ревматолога
Приём ревматолога (повторный);2500;20;Повторная консультация врача-ревматолога
Приём ревматолога высшей категории;4000;25;Консультация ревматолога высшей квалификационной категории
Приём ревматолога первой категории;3500;25;Консультация ревматолога первой квалификационной категории
Приём ревматолога (доцент);5000;30;Консультация врача-ревматолога, доцента
Приём ревматолога (профессор);7650;30;Консультация врача-ревматолога, профессора
Консультация кардиолога;5000;25;Приём врача-кардиолога (ориентир — заменить на прайс клиники)
Внутрисуставная инъекция (1 сустав);1800;20;Введение препарата внутрь сустава, 1 сустав
Дневной стационар (1 день);2000;480;Пребывание и лечение в дневном стационаре, 1 день
УЗИ почек;2500;20;Ультразвуковое исследование почек
Комплексное УЗИ органов брюшной полости;5600;30;Комплексное ультразвуковое исследование органов брюшной полости
УЗИ щитовидной железы;2600;15;Ультразвуковое исследование щитовидной железы
ЭхоКГ (УЗИ сердца);4500;25;Эхокардиография
УЗИ суставов (1 область);3500;20;Ультразвуковое исследование суставов, 1 область (ориентир — заменить на прайс клиники)
Рентген грудной клетки;1800;15;Рентгенография органов грудной клетки
Рентген суставов (1 область);2500;15;Рентгенография сустава, 1 область (ориентир — заменить на прайс клиники)
Электрофорез (физиопроцедура);600;20;Физиотерапевтическая процедура электрофореза
Лазеротерапия (физиопроцедура);600;20;Физиотерапевтическая процедура лазеротерапии
Ревмопробы (ревматоидный фактор, СРБ, АСЛО);6000;10;Комплекс ревматологических проб (ориентир — заменить на прайс клиники)
Общий анализ крови;1500;10;Общий анализ крови (ориентир — заменить на прайс клиники)
С-реактивный белок (СРБ);2500;10;Определение С-реактивного белка (ориентир — заменить на прайс клиники)
Биохимический анализ крови;8000;10;Биохимическое исследование крови (ориентир — заменить на прайс клиники)
Забор крови из вены;500;10;Взятие крови из вены для исследований (ориентир — заменить на прайс клиники)
Магнитотерапия (физиопроцедура);700;20;Физиотерапевтическая процедура магнитотерапии (ориентир — заменить на прайс клиники)
