Название;Цена;Длительность;Описание
Консультация детского офтальмолога;5000;25;Приём детского врача-офтальмолога (от)
Консультация детского гастроэнтеролога;5000;25;Приём детского гастроэнтеролога (от)
Консультация детского эндокринолога;5000;25;Приём детского эндокринолога (от)
Консультация детского дерматовенеролога;5000;25;Приём детского дерматовенеролога (от)
Консультация детского невролога (первичный);8000;30;Первичный приём детского невролога (от)
Консультация педиатра;5000;25;Приём детского врача-педиатра (ориентир — заменить на прайс клиники)
Консультация детского ЛОР-врача;5500;25;Приём детского оториноларинголога (ориентир — заменить на прайс клиники)
МРТ (без контраста);16000;40;Магнитно-резонансная томография без контраста (от; контраст не входит)
КТ одной области;10000;30;Компьютерная томография одной области (от; контраст не входит)
УЗИ молочных желёз;4000;20;Ультразвуковое исследование молочных желёз (от)
УЗИ щитовидной железы;4000;15;Ультразвуковое исследование щитовидной железы (от)
УЗИ органов брюшной полости;4500;20;Ультразвуковое исследование брюшной полости (ориентир — заменить на прайс клиники)
Рентген лёгких (1 проекция);4000;15;Рентгенография лёгких, 1 проекция (от)
ЭКГ;2500;15;Электрокардиография (от)
Общий анализ крови (автоанализатор);1800;10;Общий анализ крови на автоанализаторе (от)
Общий анализ мочи;1500;10;Общий анализ мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;9000;10;Биохимическое исследование крови (ориентир — заменить на прайс клиники)
Забор крови из вены;600;10;Взятие крови из вены (ориентир — заменить на прайс клиники)
Детский лечебный массаж;2500;30;Лечебный массаж для детей (от)
Проверка остроты зрения;1000;15;Определение остроты зрения (от)
Подбор очков;1500;20;Подбор корригирующих очков (от)
Физиопроцедура (1 сеанс);900;20;Физиотерапевтическая процедура, 1 сеанс (ориентир — заменить на прайс клиники)
УЗИ сердца детское (ЭхоКГ);5000;25;Эхокардиография детская (ориентир — заменить на прайс клиники)
