Название;Цена;Длительность;Описание
Детский лечебный массаж (1 зона);2500;30;Лечебный массаж одной зоны для ребёнка (ориентир — заменить на прайс клиники)
Детский общий массаж;3000;40;Общий лечебный массаж для ребёнка (ориентир — заменить на прайс клиники)
Магнитотерапия (1 сеанс);800;20;Физиотерапевтическая процедура магнитотерапии (ориентир — заменить на прайс клиники)
Электрофорез (1 сеанс);700;20;Физиотерапевтическая процедура электрофореза (ориентир — заменить на прайс клиники)
Амплипульстерапия (1 сеанс);700;20;Физиотерапевтическая процедура амплипульстерапии (ориентир — заменить на прайс клиники)
Ультразвуковая терапия (1 сеанс);800;20;Физиотерапевтическая процедура ультразвуком (ориентир — заменить на прайс клиники)
Лазеротерапия (1 сеанс);700;20;Физиотерапевтическая процедура лазеротерапии (ориентир — заменить на прайс клиники)
Ингаляция (1 сеанс);600;15;Ингаляционная процедура (ориентир — заменить на прайс клиники)
ЛФК (лечебная физкультура, групповая);2000;40;Групповое занятие лечебной физкультурой (ориентир — заменить на прайс клиники)
ЛФК индивидуальная;3000;40;Индивидуальное занятие лечебной физкультурой (ориентир — заменить на прайс клиники)
Механотерапия (1 сеанс);2500;30;Занятие на реабилитационных тренажёрах (ориентир — заменить на прайс клиники)
Парафинотерапия (1 сеанс);900;20;Тепловая процедура парафином (ориентир — заменить на прайс клиники)
Озокеритотерапия (1 сеанс);900;20;Тепловая процедура озокеритом (ориентир — заменить на прайс клиники)
Консультация невролога (детского);6000;30;Приём детского невролога (ориентир — заменить на прайс клиники)
Консультация гастроэнтеролога (детского);6000;30;Приём детского гастроэнтеролога (ориентир — заменить на прайс клиники)
Консультация нефролога (детского);6000;30;Приём детского нефролога (ориентир — заменить на прайс клиники)
Консультация кардиолога (детского);6000;30;Приём детского кардиолога (ориентир — заменить на прайс клиники)
Консультация врача-реабилитолога;5000;30;Приём врача физической медицины и реабилитации (ориентир — заменить на прайс клиники)
Гидромассаж / водолечение (1 сеанс);2500;25;Водолечебная процедура (ориентир — заменить на прайс клиники)
Курс реабилитации (10 дней);25000;600;Комплексный курс детской реабилитации, 10 дней (ориентир — заменить на прайс клиники)
Логопедическое занятие;3000;30;Индивидуальное занятие с логопедом (ориентир — заменить на прайс клиники)
Занятие с психологом;3000;40;Индивидуальное занятие с детским психологом (ориентир — заменить на прайс клиники)
