Название;Цена;Длительность;Описание
Консультация кардиолога;15000;30;Приём врача-кардиолога (для резидентов РК)
Консультация хирурга;15000;30;Приём врача-хирурга (для резидентов РК)
Консультация уролога;15000;30;Приём врача-уролога (для резидентов РК)
Консультация эндокринолога;15000;30;Приём врача-эндокринолога (для резидентов РК)
Консультация нейрохирурга;15000;30;Приём врача-нейрохирурга (ориентир — заменить на прайс клиники)
Консультация трансплантолога;18000;30;Приём врача-трансплантолога (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;10000;30;Ультразвуковое исследование органов брюшной полости (для резидентов РК)
ЭхоКГ с допплером;15000;30;Эхокардиография с допплеровским исследованием (для резидентов РК)
КТ головного мозга;15500;30;Компьютерная томография головного мозга (для резидентов РК)
МРТ головного мозга;23400;45;Магнитно-резонансная томография головного мозга (для резидентов РК)
Общий анализ крови;3800;10;Общий анализ крови (для резидентов РК)
Биохимический анализ крови;16400;10;Биохимическое исследование крови (для резидентов РК)
Коагулограмма;6400;10;Исследование свёртывающей системы крови (для резидентов РК)
Эзофагогастродуоденоскопия (ЭФГДС);22000;30;Эндоскопия верхних отделов ЖКТ (для резидентов РК)
Холецистэктомия (лапароскопия);205000;120;Лапароскопическое удаление желчного пузыря (для резидентов РК)
Аппендэктомия (лапаротомия);150000;90;Открытое удаление аппендикса (для резидентов РК)
Предоперационное обследование (комплекс);45000;120;Комплекс анализов и исследований перед операцией (ориентир — заменить на прайс клиники)
ЭКГ;3000;15;Электрокардиография (ориентир — заменить на прайс клиники)
Рентген грудной клетки;4500;15;Рентгенография органов грудной клетки (ориентир — заменить на прайс клиники)
Колоноскопия;35000;40;Эндоскопия толстого кишечника (ориентир — заменить на прайс клиники)
УЗИ почек;10000;25;Ультразвуковое исследование почек (ориентир — заменить на прайс клиники)
Консультация анестезиолога;15000;30;Приём врача-анестезиолога перед операцией (ориентир — заменить на прайс клиники)
Госпитализация в палату (1 сутки);20000;1440;Пребывание в стационаре, 1 сутки (ориентир — заменить на прайс клиники)
