Название;Цена;Длительность;Описание
Консультация терапевта;3500;20;Приём врача-терапевта (ориентир — заменить на прайс клиники)
Консультация врача общей практики (ВОП);3000;20;Первичный приём врача общей практики (ориентир — заменить на прайс клиники)
Консультация хирурга;4500;25;Приём врача-хирурга (ориентир — заменить на прайс клиники)
Консультация невролога;4500;25;Приём врача-невролога (ориентир — заменить на прайс клиники)
Консультация кардиолога;4500;25;Приём врача-кардиолога (ориентир — заменить на прайс клиники)
Консультация гинеколога;4000;25;Приём акушера-гинеколога (ориентир — заменить на прайс клиники)
Консультация уролога;4500;25;Приём врача-уролога (ориентир — заменить на прайс клиники)
Консультация оториноларинголога (ЛОР);4000;25;Приём ЛОР-врача (ориентир — заменить на прайс клиники)
Консультация эндокринолога;4500;25;Приём врача-эндокринолога (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;5000;20;Ультразвуковое исследование брюшной полости (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;3500;15;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;4500;20;Ультразвуковое исследование малого таза (ориентир — заменить на прайс клиники)
УЗИ почек;3500;20;Ультразвуковое исследование почек (ориентир — заменить на прайс клиники)
ЭхоКГ (УЗИ сердца);5500;25;Эхокардиография (ориентир — заменить на прайс клиники)
ЭКГ;2000;15;Электрокардиография (ориентир — заменить на прайс клиники)
Рентген грудной клетки;3000;15;Рентгенография органов грудной клетки (ориентир — заменить на прайс клиники)
Рентген (1 область);2500;15;Рентгенография одной области (ориентир — заменить на прайс клиники)
Фиброгастродуоденоскопия (ФГДС);15000;30;Эндоскопия верхних отделов ЖКТ (ориентир — заменить на прайс клиники)
Колоноскопия;30000;40;Эндоскопия толстого кишечника (ориентир — заменить на прайс клиники)
Общий анализ крови;1500;10;Общий анализ крови (ориентир — заменить на прайс клиники)
Общий анализ мочи;1200;10;Общий анализ мочи (ориентир — заменить на прайс клиники)
Биохимический анализ крови;8000;10;Биохимическое исследование крови (ориентир — заменить на прайс клиники)
Коагулограмма;5000;10;Исследование свёртывающей системы крови (ориентир — заменить на прайс клиники)
Забор крови из вены;600;10;Взятие крови из вены (ориентир — заменить на прайс клиники)
Пребывание в платной палате (1 сутки);12000;1440;Пребывание в палате повышенной комфортности, 1 сутки (ориентир — заменить на прайс клиники)
Комплексное обследование (чек-ап);18000;60;Комплексное обследование организма (ориентир — заменить на прайс клиники)
