Название;Цена;Длительность;Описание
Консультация терапевта;4000;30;Приём врача-терапевта (ориентир — заменить на прайс клиники)
Консультация невролога;5000;30;Приём врача-невролога (ориентир — заменить на прайс клиники)
Консультация реабилитолога;5000;30;Приём врача физической и реабилитационной медицины (ориентир — заменить на прайс клиники)
Индивидуальная реабилитационная программа (курс);45000;60;Комплексный курс восстановительного лечения по назначению врача (ориентир — заменить на прайс клиники)
Лечебная физкультура (ЛФК), индивидуальное занятие;2000;40;Занятие лечебной физкультурой с инструктором (ориентир — заменить на прайс клиники)
Лечебная физкультура (ЛФК), групповое занятие;1200;45;Групповое занятие лечебной гимнастикой (ориентир — заменить на прайс клиники)
Механотерапия (занятие);2500;40;Восстановление движений на реабилитационных тренажёрах (ориентир — заменить на прайс клиники)
Лечебный массаж (одна зона);2500;30;Классический лечебный массаж одной анатомической зоны (ориентир — заменить на прайс клиники)
Общий лечебный массаж;5000;60;Массаж всего тела по медицинским показаниям (ориентир — заменить на прайс клиники)
Физиотерапия (одна процедура);1500;20;Аппаратная физиотерапия по назначению врача (ориентир — заменить на прайс клиники)
Электрофорез;1800;20;Введение лекарства через кожу с помощью тока (ориентир — заменить на прайс клиники)
Магнитотерапия;1600;20;Лечебное воздействие магнитным полем (ориентир — заменить на прайс клиники)
Лазеротерапия;2000;20;Лечебное воздействие лазерным излучением (ориентир — заменить на прайс клиники)
Грязелечение (аппликация);3000;30;Лечебные грязевые аппликации (ориентир — заменить на прайс клиники)
Водолечение (лечебная ванна);2500;25;Лечебная минеральная или травяная ванна (ориентир — заменить на прайс клиники)
Подводный душ-массаж;3000;30;Массаж струёй воды под водой (ориентир — заменить на прайс клиники)
Циркулярный душ;1500;15;Тонизирующая водолечебная процедура (ориентир — заменить на прайс клиники)
Соляная пещера (галотерапия), сеанс;1500;40;Сеанс в соляной комнате для дыхательной системы (ориентир — заменить на прайс клиники)
Посещение бассейна (сеанс);2000;45;Оздоровительное плавание в лечебном бассейне (ориентир — заменить на прайс клиники)
Аквааэробика (групповое занятие);2500;45;Групповые упражнения в воде (ориентир — заменить на прайс клиники)
Ингаляция;1000;15;Лечебная ингаляция дыхательных путей (ориентир — заменить на прайс клиники)
Парафинолечение;1800;25;Тепловые аппликации парафином (ориентир — заменить на прайс клиники)
Иглорефлексотерапия (сеанс);4000;40;Лечение методом акупунктуры (ориентир — заменить на прайс клиники)
УЗИ органов брюшной полости;5000;25;Ультразвуковое исследование органов брюшной полости (ориентир — заменить на прайс клиники)
УЗИ сердца (ЭхоКГ);6000;30;Ультразвуковое исследование сердца (ориентир — заменить на прайс клиники)
ЭКГ (электрокардиография);2000;20;Регистрация электрической активности сердца (ориентир — заменить на прайс клиники)
Общий анализ крови;2000;10;Клинический анализ крови (ориентир — заменить на прайс клиники)
Биохимический анализ крови;9000;10;Комплекс биохимических показателей крови (ориентир — заменить на прайс клиники)
Консультация стоматолога-терапевта;3000;30;Приём стоматолога, осмотр и план лечения (ориентир — заменить на прайс клиники)
Лечение кариеса (одна пломба);7000;45;Лечение кариеса с установкой пломбы (ориентир — заменить на прайс клиники)
Удаление зуба;5000;30;Удаление зуба по показаниям (ориентир — заменить на прайс клиники)
Платная палата повышенной комфортности (сутки);12000;20;Пребывание в одноместной палате повышенной комфортности за сутки (ориентир — заменить на прайс клиники)
