Название;Цена;Длительность;Описание
Приём офтальмолога;4000;30;Консультация врача-офтальмолога, цена «от»
Приём гинеколога;4000;30;Консультация врача-гинеколога, цена «от»
Приём хирурга;4000;30;Консультация врача-хирурга, цена «от»
Осмотр глазного дна;1200;20;Офтальмоскопия — осмотр глазного дна, цена «от»
Установка внутриматочной спирали (ВМС);2500;30;Введение внутриматочного контрацептива, цена «от»
МРТ головного мозга без контраста;17600;40;Магнитно-резонансная томография головного мозга без контраста, цена «от»
МРТ головного мозга с контрастом;38700;60;Магнитно-резонансная томография головного мозга с контрастным усилением, цена «от»
УЗИ молочных желёз;2400;20;Ультразвуковое исследование молочных желёз, цена «от»
УЗИ органов брюшной полости;5000;25;Ультразвуковое исследование органов брюшной полости, цена «от»
Колоноскопия диагностическая;14500;40;Эндоскопическое исследование толстого кишечника, цена «от»
Денситометрия ультразвуковая;3600;20;Оценка плотности костной ткани, цена «от»
Лечебная физкультура (ЛФК);1000;40;Занятие лечебной физкультурой, цена «от»
Консультация невролога;5000;30;Приём врача-невролога (ориентир — заменить на прайс клиники)
Консультация уролога;5000;30;Приём врача-уролога (ориентир — заменить на прайс клиники)
Консультация терапевта;4000;30;Приём врача-терапевта (ориентир — заменить на прайс клиники)
ЭКГ (электрокардиография);2000;20;Регистрация электрической активности сердца (ориентир — заменить на прайс клиники)
ЭхоКГ (УЗИ сердца);6000;30;Ультразвуковое исследование сердца (ориентир — заменить на прайс клиники)
УЗИ органов малого таза;4500;25;Ультразвуковое исследование органов малого таза (ориентир — заменить на прайс клиники)
УЗИ щитовидной железы;4000;20;Ультразвуковое исследование щитовидной железы (ориентир — заменить на прайс клиники)
Гастроскопия (ФГДС);9000;30;Эндоскопическое исследование желудка (ориентир — заменить на прайс клиники)
Общий анализ крови;2000;10;Клинический анализ крови (ориентир — заменить на прайс клиники)
Биохимический анализ крови;10000;10;Комплекс биохимических показателей крови (ориентир — заменить на прайс клиники)
Общий анализ мочи;1500;10;Лабораторное исследование мочи (ориентир — заменить на прайс клиники)
Мазок на онкоцитологию (ПАП-тест);4000;10;Цитологическое исследование мазка шейки матки (ориентир — заменить на прайс клиники)
Консультация стоматолога;3000;30;Приём стоматолога, осмотр и план лечения (ориентир — заменить на прайс клиники)
Протезирование зуба (коронка);40000;60;Изготовление и установка зубной коронки (ориентир — заменить на прайс клиники)
Массаж лечебный (одна зона);2500;30;Классический лечебный массаж одной зоны (ориентир — заменить на прайс клиники)
Физиотерапия (одна процедура);1500;20;Аппаратная физиотерапия по назначению врача (ориентир — заменить на прайс клиники)
Внутривенная инфузия (капельница);3000;60;Внутривенное капельное введение препаратов (ориентир — заменить на прайс клиники)
Платная палата повышенной комфортности (сутки);15000;20;Пребывание в палате повышенной комфортности за сутки (ориентир — заменить на прайс клиники)
