Название;Цена;Длительность;Описание
Консультация реабилитолога;3000;30;Первичный осмотр и составление плана восстановления (ориентир — фонд благотворительный, часть услуг может быть бесплатной; уточнить)
Лечебная физкультура (ЛФК), индивидуальное занятие;1500;40;Индивидуальные восстановительные упражнения с инструктором (ориентир — часть услуг может быть бесплатной; уточнить)
Лечебная физкультура (ЛФК), групповое занятие;800;45;Групповое занятие лечебной гимнастикой (ориентир — часть услуг может быть бесплатной; уточнить)
Лечебный массаж (одна зона);2000;30;Классический лечебный массаж одной зоны (ориентир — часть услуг может быть бесплатной; уточнить)
Общий лечебный массаж;3500;60;Массаж всего тела по показаниям (ориентир — часть услуг может быть бесплатной; уточнить)
Физиотерапия (одна процедура);1200;20;Аппаратная физиотерапия по назначению врача (ориентир — часть услуг может быть бесплатной; уточнить)
Кинезиотерапия (занятие);2000;40;Лечение движением, восстановление двигательных функций (ориентир — часть услуг может быть бесплатной; уточнить)
Механотерапия (занятие);2000;40;Занятие на реабилитационных тренажёрах (ориентир — часть услуг может быть бесплатной; уточнить)
Эрготерапия (занятие);2000;40;Восстановление бытовых и повседневных навыков (ориентир — часть услуг может быть бесплатной; уточнить)
Гирудотерапия (сеанс);2500;40;Лечение медицинскими пиявками по показаниям (ориентир — часть услуг может быть бесплатной; уточнить)
Иглорефлексотерапия (сеанс);3000;40;Лечение методом акупунктуры (ориентир — часть услуг может быть бесплатной; уточнить)
Реабилитация после инсульта (курс);30000;60;Комплексный курс восстановления после инсульта (ориентир — часть услуг может быть бесплатной; уточнить)
Реабилитация после травм и операций (курс);30000;60;Комплексный курс восстановления после травм и операций (ориентир — часть услуг может быть бесплатной; уточнить)
Реабилитация при ДЦП (курс);30000;60;Комплексная программа помощи при детском церебральном параличе (ориентир — часть услуг может быть бесплатной; уточнить)
Реабилитация при болезни Паркинсона (курс);30000;60;Поддерживающая реабилитационная программа при болезни Паркинсона (ориентир — часть услуг может быть бесплатной; уточнить)
Занятие с логопедом;2500;40;Восстановление речи после инсульта или травмы (ориентир — часть услуг может быть бесплатной; уточнить)
Консультация психолога;2500;50;Психологическая поддержка пациента и близких (ориентир — часть услуг может быть бесплатной; уточнить)
Лечебная ванна;2000;25;Водолечебная процедура по назначению врача (ориентир — часть услуг может быть бесплатной; уточнить)
Парафинолечение;1500;25;Тепловые аппликации парафином (ориентир — часть услуг может быть бесплатной; уточнить)
Электрофорез;1200;20;Введение лекарства через кожу с помощью тока (ориентир — часть услуг может быть бесплатной; уточнить)
Магнитотерапия;1200;20;Лечебное воздействие магнитным полем (ориентир — часть услуг может быть бесплатной; уточнить)
Паллиативный уход (сутки, стационар хосписа);15000;20;Симптоматический уход и обезболивание в условиях хосписа за сутки (ориентир — уточнить, возможна благотворительная основа)
Патронаж на дому (визит);5000;60;Выезд специалиста для ухода и процедур на дому (ориентир — уточнить, возможна благотворительная основа)
