Название;Цена;Длительность;Описание
Консультация детского невролога;7000;30;Приём детского врача-невролога (ориентир — заменить на прайс клиники)
Консультация детского реабилитолога;7000;30;Осмотр и составление плана реабилитации ребёнка (ориентир — заменить на прайс клиники)
Консультация логопеда (детского);5000;40;Оценка и коррекция речевых нарушений у ребёнка (ориентир — заменить на прайс клиники)
Консультация детского психолога;5000;50;Психологическая диагностика и поддержка ребёнка (ориентир — заменить на прайс клиники)
Консультация детского ортопеда;7000;30;Приём детского врача-ортопеда (ориентир — заменить на прайс клиники)
Консультация профессора / врача высшей категории;12000;30;Приём высококвалифицированного специалиста (ориентир — заменить на прайс клиники)
Лечебная физкультура (ЛФК), индивидуальное занятие;2500;40;Индивидуальные восстановительные упражнения с инструктором (ориентир — заменить на прайс клиники)
Лечебная физкультура (ЛФК), групповое занятие;1200;45;Групповое занятие лечебной гимнастикой (ориентир — заменить на прайс клиники)
Детский лечебный массаж (одна зона);2500;30;Лечебный массаж одной зоны для ребёнка (ориентир — заменить на прайс клиники)
Общий детский лечебный массаж;4500;45;Массаж всего тела ребёнка по показаниям (ориентир — заменить на прайс клиники)
Физиотерапия (одна процедура);1500;20;Аппаратная физиотерапия по назначению врача (ориентир — заменить на прайс клиники)
Электрофорез;1500;20;Введение лекарства через кожу с помощью тока (ориентир — заменить на прайс клиники)
Магнитотерапия;1500;20;Лечебное воздействие магнитным полем (ориентир — заменить на прайс клиники)
Эрготерапия (занятие);2500;40;Развитие бытовых и повседневных навыков у ребёнка (ориентир — заменить на прайс клиники)
Кинезиотерапия (занятие);2500;40;Восстановление двигательных функций через движение (ориентир — заменить на прайс клиники)
Механотерапия (занятие);2500;40;Занятие на реабилитационных тренажёрах (ориентир — заменить на прайс клиники)
Занятие с логопедом-дефектологом;2500;40;Коррекционное занятие по развитию речи (ориентир — заменить на прайс клиники)
Занятие с психологом (коррекционное);2500;40;Коррекция психоэмоциональных нарушений (ориентир — заменить на прайс клиники)
Курсовая реабилитация (двигательные нарушения);60000;90;Комплексный курс реабилитации при двигательных нарушениях (ориентир — заменить на прайс клиники)
Курсовая реабилитация (речевые нарушения);45000;90;Комплексный курс коррекции речевых нарушений (ориентир — заменить на прайс клиники)
Изготовление ортопедических изделий (индивидуально);25000;60;Индивидуальные ортопедические изделия для ребёнка (ориентир — заменить на прайс клиники)
Гидрокинезотерапия (занятие в бассейне);3000;40;Реабилитационные упражнения в воде (ориентир — заменить на прайс клиники)
Логопедический массаж;2000;25;Массаж артикуляционного аппарата (ориентир — заменить на прайс клиники)
Комплексная диагностика развития ребёнка;15000;90;Мультидисциплинарная оценка развития ребёнка (ориентир — заменить на прайс клиники)
Пребывание в палате с сопровождающим (сутки);12000;20;Пребывание ребёнка с родителем в стационаре за сутки (ориентир — заменить на прайс клиники)
