Название;Цена;Длительность;Описание
Вызов педиатра на дом (в черте города);10000;40;Осмотр ребёнка на дому неотложно (ориентир — заменить на прайс клиента)
Неотложный приём ребёнка в клинике;8000;30;Срочный осмотр педиатром без записи (ориентир — заменить на прайс клиента)
Плановый приём педиатра;6000;25;Консультация и осмотр ребёнка (ориентир — заменить на прайс клиента)
Повторный приём педиатра;4000;15;Контрольный осмотр ребёнка (ориентир — заменить на прайс клиента)
Осмотр ребёнка узким специалистом (невролог/ЛОР);7000;25;Консультация профильного детского врача (ориентир — заменить на прайс клиента)
УЗИ детское (органы брюшной полости);6000;20;УЗИ ребёнку с описанием (ориентир — заменить на прайс клиента)
УЗИ детское (нейросонография/тазобедренные суставы);6500;20;УЗИ грудничку с описанием (ориентир — заменить на прайс клиента)
ЭКГ ребёнку с расшифровкой;3500;15;Электрокардиограмма и заключение (ориентир — заменить на прайс клиента)
Общий анализ крови (ОАК) ребёнку;2500;10;Забор и лабораторный анализ (ориентир — заменить на прайс клиента)
Общий анализ мочи (ОАМ) ребёнку;2000;10;Лабораторный анализ (ориентир — заменить на прайс клиента)
Экспресс-тест (стрептококк/COVID/грипп);3000;15;Быстрый тест по показаниям (ориентир — заменить на прайс клиента)
Жаропонижающая/симптоматическая помощь на дому;5000;30;Неотложная помощь ребёнку на дому (ориентир — заменить на прайс клиента)
Внутримышечная инъекция ребёнку;1500;10;Одна инъекция по назначению (ориентир — заменить на прайс клиента)
Ингаляция (небулайзер), 1 сеанс;2000;20;Ингаляционная процедура ребёнку (ориентир — заменить на прайс клиента)
Медицинская справка для детсада/школы;3000;20;Оформление справки после осмотра (ориентир — заменить на прайс клиента)
Справка в бассейн/секцию;2000;15;Осмотр и выдача справки ребёнку (ориентир — заменить на прайс клиента)
Вакцинация ребёнка (без стоимости вакцины);2000;15;Постановка прививки, вакцина отдельно (ориентир — заменить на прайс клиента)
Патронаж новорождённого на дому;8000;40;Осмотр новорождённого и консультация родителей (ориентир — заменить на прайс клиента)
Ночной/срочный вызов педиатра;15000;40;Неотложный вызов в нерабочее время (ориентир — заменить на прайс клиента)
Комплексный осмотр ребёнка перед садом/школой;12000;60;Осмотр и базовые анализы (ориентир — заменить на прайс клиента)
