Название;Цена;Длительность;Описание
Приём врача общей практики (ВОП/семейного врача);5000;20;Первичный приём, осмотр, назначения (ориентир — заменить на прайс клиента)
Повторный приём ВОП/семейного врача;3500;15;Контрольный осмотр, коррекция лечения (ориентир — заменить на прайс клиента)
Приём терапевта;5000;20;Консультация терапевта (ориентир — заменить на прайс клиента)
Приём педиатра;5000;20;Осмотр ребёнка, консультация родителей (ориентир — заменить на прайс клиента)
Приём гинеколога;6000;25;Консультация и осмотр (ориентир — заменить на прайс клиента)
УЗИ органов брюшной полости;6000;20;Комплексное УЗИ (ориентир — заменить на прайс клиента)
УЗИ малого таза;6000;20;УЗИ гинекологическое/урологическое (ориентир — заменить на прайс клиента)
УЗИ щитовидной железы;4500;15;УЗИ с описанием (ориентир — заменить на прайс клиента)
ЭКГ с расшифровкой;3500;15;Электрокардиограмма и заключение (ориентир — заменить на прайс клиента)
Общий анализ крови (ОАК);2500;10;Забор и лабораторный анализ (ориентир — заменить на прайс клиента)
Общий анализ мочи (ОАМ);2000;10;Лабораторный анализ (ориентир — заменить на прайс клиента)
Биохимический анализ крови (базовый профиль);6000;10;Комплекс биохимических показателей (ориентир — заменить на прайс клиента)
Дневной стационар (1 день);8000;480;Наблюдение и лечение в условиях дневного стационара (ориентир — заменить на прайс клиента)
Внутривенная капельница (инфузия);4000;60;Постановка капельницы по назначению врача (ориентир — заменить на прайс клиента)
Внутримышечная инъекция;1000;10;Одна инъекция по назначению (ориентир — заменить на прайс клиента)
Внутривенная инъекция;1500;10;Одна инъекция по назначению (ориентир — заменить на прайс клиента)
Медицинская справка (форма 075/086);3000;20;Оформление справки после осмотра (ориентир — заменить на прайс клиента)
Справка для бассейна/спортзала;2000;15;Осмотр и выдача справки (ориентир — заменить на прайс клиента)
Вызов врача на дом (в черте города);8000;40;Осмотр пациента на дому (ориентир — заменить на прайс клиента)
Вакцинация (взрослые/дети, без стоимости вакцины);2000;15;Постановка прививки, стоимость вакцины отдельно (ориентир — заменить на прайс клиента)
Приём невролога;6000;25;Консультация невролога (ориентир — заменить на прайс клиента)
Комплексный профосмотр (базовый чек-ап);15000;90;Осмотр врачей и базовые анализы (ориентир — заменить на прайс клиента)
