,Розничный Прайс-лист от 04/05/2006,,
,Магазин Lashop,,
,,,
,,,
,№,Номенклатура,Цена
,1,Ресницы Rili SPECIAL Mix C 0.07*6-13,"65,000"
,2,Ресницы Rili SPECIAL Mix C 0.10*6-13,"65,000"
,3,Ресницы Rili SPECIAL Mix D 0.07*6-13,"65,000"
,4,Ресницы Rili SPECIAL Mix D 0.10*6-13,"65,000"
,5,Броу Хенна Хна #210 Янт.концет 6г(саше),"125,000"
,6,Броу Хенна Хна Graphite concentrate #110 6г(саше),"125,000"
,7,Броу Хенна Хна Блонд#201 Жемчужн 6г(саше),"125,000"
,8,Броу Хенна Хна Блонд#202 с.русый 6г(саше),"125,000"
,9,Броу Хенна Хна Блонд#203 Орех 6г(саше),"125,000"
,10,Броу Хенна Хна Блонд#204 зол.блонд 6г(саше),"125,000"
,11,Броу Хенна Хна Блонд#205 т.русый 6г(саше),"125,000"
,12,Броу Хенна Хна Шат #106 Пыльный кор. 6гр (саше),"125,000"
,13,Броу Хенна Хна Шат #107 Темная земля. 6гр (саше),"125,000"
,14,Броу Хенна Хна Шат #108 Древесный винный. 6гр (саше),"125,000"
,15,Броу Хенна Хна Шат#101 нейт-кор 6г(саше),"125,000"
,16,Броу Хенна Хна Шат#102 хол кофе 6г(саше),"125,000"
,17,Броу Хенна Хна Шат#103 насыщ.сер-корич 6г(саше),"125,000"
,18,Броу Хенна Хна Шат#104 г.шок 6г(саше),"125,000"
,19,"Броу Хенна Хна Шат#105, мор кашт 6 (саше)","125,000"
,20, Броу Хенна Хна Блонд #201 MIDI саше 3гр,"85,000"
,21,Броу Хенна Хна Блонд #202 MIDI саше 3гр,"85,000"
,22, Броу Хенна Хна Блонд #203 MIDI саше 3гр,"85,000"
,23,Броу Хенна Хна Блонд #204 MIDI саше 3гр,"85,000"
,24,Броу Хенна Хна Шат #101 MIDI саше 3гр,"85,000"
,25,Броу Хенна Хна Шат #102 MIDI саше 3гр,"85,000"
,26,Броу Хенна Хна Шат #103 MIDI саше 3гр,"85,000"
,27,Броу Хенна Хна Шат #104 MIDI саше 3гр,"85,000"
,28,Броу Хенна Хна Шат #105 MIDI саше 3гр,"85,000"
,29,Броу Хенна Хна Шат #108 MIDI саше 3гр,"85,000"
,30,Броу Хенна Хна Шат #205 MIDI саше 3гр,"85,000"
,31,Клей Лавли TEMPO 5мл,"125,000"
,32,Клей Лавли Buzzy Bee 5ml,"125,000"
,33,Ресницы Лавли Серия Silicon D 0.07 08mm (16 лент),"95,000"
,34,Ресницы Лавли Серия Silicon L 0.07 15mm (16 лент),"110,000"
,35,Ресницы Лавли Серия Silicon MIX L 0.10*9-11 (16 лент),"125,000"
,36,Noemi Краска Dark Brown 15ml,"77,000"
,37,Клей RILI BASE 5мл,"80,000"
,38, Клей Rili Solar Crystal 5 мл,"110,000"
,39, Клей The Best 5ml,"120,000"
,40,Клей TIME -30%,"125,000"
,41,"Клей LASHY by Lovely ""Bionix"" 5 мл","80,000"
,42,"Клей LASHY by Lovely ""Matrix"" 5 мл","80,000"
,43,"Клей LASHY by Lovely ""Sophix"" 5 мл","80,000"
,44,Клей Лавли NE (нечаева)o Crystal 5мл,"150,000"
,45,Клей Лавли Start 5ml,"99,000"
,46,Пигмент Алины Шаховой OPIUM B4-Whiskey (брови) 6мл,"165,000"
,47, Пигмент Алины Шаховой OPIUM L13-PAPAYA 6мл,"165,000"
,48, Пигмент Алины ШаховойOPIUM L20-PINK PANTHER 6мл,"165,000"
,49, Пигмент Алины Шаховой PIUM L5-TOFFEE 6мл,"165,000"
,50, Пигмент Алины Шаховой OPIUM L6-FERRARI ORGANIC 6мл,"165,000"
,51,Алина Шахова Корректор для сине-серых (брови) 6мл,"165,000"
,52,Клей Avital Eyeforia состав 1 (10ml),"150,000"
,53,Клей Avital Eyeforia состав 2 (10ml),"150,000"
,54,Клей  Avital Eyeforia состав 3 (10ml),"150,000"
,55,Клей  Beauty Eyes F 5ml,"249,000"
,56,"Ресницы Барбара Горький шоколад C 0,07*13","130,000"
,57,"Ресницы Барбара Горький шоколад D 0,07*7","130,000"
,58,"Ресницы Барбара Горький шоколад D 0,10*14","130,000"
,59,"Ресницы Барбара Горький шоколад D 0,10*8","130,000"
,60," Бронсан Гель краска #4.1 медля каштан (старая версия),15мл","60,000"
,61,Пигмент FACE Basic ДЕТРОИТ 6мл,"175,000"
,62,Пигмент FACE Basic ЛИЛОВЫЙ 6мл,"175,000"
,63,Ресницы Лавли Серия Deluxe  C+ 0.10 11mm,"125,000"
,64,Ресницы Лавли Серия Deluxe C 0.07 10mm,"125,000"
,65,Ресницы Лавли Серия Deluxe C 0.07 11mm,"125,000"
,66,Ресницы Лавли Серия Deluxe C 0.07 12mm,"125,000"
,67,Ресницы Лавли Серия Deluxe C 0.07 13mm,"125,000"
,68,Ресницы Лавли Серия Deluxe C 0.07 14mm,"125,000"
,69,Ресницы Лавли Серия Deluxe C 0.07 6mm,"125,000"
,70,Ресницы Лавли Серия Deluxe C 0.07 7mm,"125,000"
,71,Ресницы Лавли Серия Deluxe C 0.07 8mm,"125,000"
,72,Ресницы Лавли Серия Deluxe C 0.07 9mm,"125,000"
,73,Ресницы Лавли Серия Deluxe C+ 0.07 10mm,"125,000"
,74,Ресницы Лавли Серия Deluxe C+ 0.07 11mm,"125,000"
,75,Ресницы Лавли Серия Deluxe C+ 0.07 12mm,"125,000"
,76,Ресницы Лавли Серия Deluxe C+ 0.07 13mm,"125,000"
,77,Ресницы Лавли Серия Deluxe C+ 0.07 14mm,"125,000"
,78,Ресницы Лавли Серия Deluxe C+ 0.07 15mm,"125,000"
,79,Ресницы Лавли Серия Deluxe C+ 0.07 16mm,"125,000"
,80,Ресницы Лавли Серия Deluxe C+ 0.07 17mm,"125,000"
,81,Ресницы Лавли Серия Deluxe C+ 0.07 7mm,"125,000"
